idll_dll_loader /home/kali/Downloads/sandbox/u297528.dat
0x399b:$idll: IdllEntry
0x3992:$idll_name: idll.dll
idll_dll_syscall_stubs /home/kali/Downloads/sandbox/u297528.dat
0x3339:$syscall_ret: 0F 05 C3
0x3345:$syscall_ret: 0F 05 C3
0x3351:$syscall_ret: 0F 05 C3
0x335d:$syscall_ret: 0F 05 C3
0x3369:$syscall_ret: 0F 05 C3
0x3375:$syscall_ret: 0F 05 C3
0x3330:$mov_r10_rcx: 4C 8B D1
0x333c:$mov_r10_rcx: 4C 8B D1
0x3348:$mov_r10_rcx: 4C 8B D1
0x3354:$mov_r10_rcx: 4C 8B D1
0x3360:$mov_r10_rcx: 4C 8B D1
0x336c:$mov_r10_rcx: 4C 8B D1
idll_dll_peb_walker /home/kali/Downloads/sandbox/u297528.dat
0x30ad:$gs_60: 65 48 8B 04 25 60 00 00 00
0x30b8:$peb_ldr: 48 8B 58 18
0x2d20:$hash_mul: 6B C0 21
0x3150:$hash_mul: 6B C0 21
0x2d02:$hash_init: B8 A1 E7 00 00
0x313f:$hash_init: B8 A1 E7 00 00
idll_dll_xor_decrypt /home/kali/Downloads/sandbox/u297528.dat
0xe33:$xor_3d: 34 3D
0xf93:$xor_3d: 34 3D
0x1163:$xor_3d: 34 3D
0x1363:$xor_3d: 34 3D
0x1583:$xor_3d: 34 3D
0x17c3:$xor_3d: 34 3D
0x584aab:$xor_3d: 34 3D
0x5ad4ed:$xor_3d: 34 3D
0x5b5b78:$xor_3d: 34 3D
0x5dad67:$xor_3d: 34 3D
0x5e7d57:$xor_3d: 34 3D
0x5e8c1b:$xor_3d: 34 3D
0x5f990d:$xor_3d: 34 3D
0x6049a8:$xor_3d: 34 3D
0x606fb3:$xor_3d: 34 3D
0x61eac5:$xor_3d: 34 3D
0x621a4f:$xor_3d: 34 3D
0x62712a:$xor_3d: 34 3D
0x62f2e2:$xor_3d: 34 3D
0x63b819:$xor_3d: 34 3D
0x6451ec:$xor_3d: 34 3D
0x66a3eb:$xor_3d: 34 3D
0x67b2fa:$xor_3d: 34 3D
0x688d25:$xor_3d: 34 3D
0x6912c2:$xor_3d: 34 3D
0x6927bb:$xor_3d: 34 3D
0x6938c6:$xor_3d: 34 3D
0x69c708:$xor_3d: 34 3D
0x6b584f:$xor_3d: 34 3D
0x6d341f:$xor_3d: 34 3D
